Year, Total, Bangkok, Central,Kanchanaburi,Nakhon Pathom,Prachuap Khiri Khan,Phetchaburi,Ratchaburi,Samut Prakan,Samut Songkhram,Samut Sakhon,Chai Nat,Nonthaburi,Pathum Thani,Ayutthaya,Lop Buri,Saraburi,Sing Buri,Suphan Buri,Ang Thong, Eastern,Chanthaburi,Chachoengsao,Chon Buri,Trad,Nakhon Nayok,Prachin Buri,Rayong,Sa Kaeo, Southern,Krabi,Chumphon,Nakhon Si Thammarat,Phangnga,Phuket,Ranong,Surat Thani,Trat,Narathiwat,Pattani,Phatthalung,Yala,Songkhla,Satun, Northern,Chiang Rai,Chiang Mai,Nan,Phayao,Phrae,Mae Hong Son,Lampang,Lamphun,Kamphaeng Phet,Tak,Nakhon Sawan,Phichit,Phitsanulok,Phetchabun,Sukhothai,Uttaradit,Uthai Thani, Northeastern,Kalasin,Khon Kaen,Nakhon Phanom,Bueng Kan,Maha Sarakham,Loei,Sakon Nakhon,Nong Khai,Nong Bua Lam Phu,Udon Thani,Chaiyaphum,Nakhon Ratchasima,Buri Ram,Mukdahan,Yasothon,Roi Et,Sisaket,Surin,Amnat Charoen,Ubon Ratchathani,Agriculture ,CR  pm ,,
11/1/2019,55588630000,12459390000,11012510000,1814000000,299950000,2814970000,2270380000,152150000,326830000,397070000,59500000,85430000,288740000,185130000,908250000,352380000,530750000,64300000,416930000,45750000,9578670000,386080000,432700000,6325270000,730040000,317480000,229640000,826410000,331050000,7059070000,1089240000,268790000,524290000,206240000,1378190000,101520000,1554840000,318610000,51110000,52040000,64290000,146630000,875180000,428100000,10443760000,2641840000,3760150000,263400000,150710000,224250000,330490000,393020000,116720000,105390000,462420000,383370000,93140000,532470000,595940000,161990000,115720000,112740000,5035230000,53280000,826890000,227930000,80340000,51990000,307410000,201520000,232650000,19990000,460580000,109660000,808620000,880840000,204250000,34410000,69570000,77040000,149950000,20280000,218030000,78.89002625,378,,
12/1/2019,49821810000,11120520000,3252270000,1696160000,288270000,2495430000,2061200000,150620000,169120000,339920000,56050000,82130000,225570000,116060000,950380000,398000000,474950000,61770000,354290000,54830000,8182530000,405220000,375140000,5609660000,729330000,269640000,219550000,658400000,290730000,6914080000,1225240000,255660000,468010000,263690000,1239430000,91870000,1439670000,316140000,44960000,42840000,65130000,141630000,783230000,536580000,9035600000,2121010000,3622580000,225960000,139860000,180050000,276490000,285510000,113710000,105960000,318320000,314090000,86750000,450810000,470130000,127340000,92670000,104360000,4219190000,49080000,764980000,143090000,65100000,41810000,257080000,151150000,211110000,16070000,493140000,115540000,747940000,435460000,175600000,42860000,62660000,79910000,108220000,19440000,238950000,28.10790692,1068,,
1/1/2020,67990180000,13194290000,13456250000,2375670000,339940000,3289210000,2393390000,334090000,285870000,472620000,113430000,96370000,390280000,281290000,1096840000,506990000,533310000,72180000,778420000,96350000,12434170000,2438510000,524460000,6156730000,1006750000,348700000,281850000,1345890000,331280000,10565560000,1849220000,415620000,879960000,395320000,1810600000,226320000,2375180000,552470000,94700000,70320000,160800000,152020000,893790000,689240000,11931740000,2989420000,4349260000,382750000,172490000,229710000,339550000,336690000,105830000,119040000,553050000,512230000,105320000,549520000,719750000,181780000,160400000,124950000,6408170000,173320000,767860000,232290000,129320000,253410000,295770000,222820000,446650000,26580000,757240000,140940000,993650000,558860000,240390000,36060000,81850000,75360000,168190000,33650000,773960000,30.64186309,2214,,
2/1/2020,27336090000,6164500000,1058730000,674190000,139140000,1331470000,1132080000,60000000,48340000,133040000,10110000,40790000,48360000,19860000,426650000,69210000,146740000,29660000,85940000,38790000,2817040000,344880000,41080000,845210000,801460000,151450000,147760000,467000000,59280000,6231220000,1332990000,179750000,448780000,545130000,1986220000,129320000,371620000,197230000,34970000,37720000,82670000,85400000,475430000,323990000,6106880000,967450000,2841260000,127370000,70010000,126110000,142170000,249020000,87400000,71530000,164810000,217890000,90750000,368920000,286470000,131050000,69110000,95560000,1541000000,16050000,114220000,40990000,7000000,17610000,69490000,46490000,32660000,4040000,98680000,63790000,591000000,76520000,44280000,26900000,14920000,20500000,49660000,10990000,195210000,21.52322465,3747,,
3/1/2020,85480620000,32253000000,4307350000,1937800000,403530000,1965950000,1986300000,340390000,337270000,201320000,165580000,129960000,358550000,163650000,1218120000,372210000,480260000,75800000,353790000,91110000,11503010000,872110000,511310000,5098310000,1197600000,677210000,457650000,2689060000,511070000,13530910000,3294910000,653250000,2000710000,575730000,1055080000,398290000,1404970000,690900000,105220000,94170000,296950000,26290000,2507270000,427170000,9699320000,1487420000,4370460000,265790000,63460000,103440000,201980000,261170000,118290000,132350000,634790000,425600000,102080000,517490000,542230000,212660000,167200000,92910000,7401480000,111660000,1198660000,167630000,71920000,123840000,309750000,265520000,476360000,25340000,883670000,177830000,1870700000,268160000,227470000,108070000,111030000,178340000,203400000,27780000,594350000,25.4095247,1654,,
4/1/2020,72711410000,12962800000,14987600000,2444540000,517730000,3201860000,2675700000,325510000,320660000,552610000,154040000,132840000,416620000,347820000,1639020000,532960000,697730000,96320000,825630000,106010000,11948040000,1142560000,623650000,6894800000,926010000,462260000,310380000,1176760000,411620000,12069530000,1681100000,491950000,1496630000,372020000,1799510000,226320000,2422690000,526320000,88320000,98630000,224350000,165231000,1643040000,833420000,13199790000,3326470000,4943570000,312630000,179230000,211700000,437650000,460870000,143470000,131940000,531830000,454630000,115100000,639700000,777950000,209050000,180020000,143980000,7543650000,104950000,1020800000,284160000,136320000,61610000,465620000,277530000,421730000,32020000,800540000,199470000,1408700000,1024710000,243650000,45950000,96320000,102190000,185140000,35500000,596740000,80.41141144,379.6,,
5/1/2020,87325770000,40579960000,3908540000,1938060000,620970000,1901100000,1894820000,364270000,257360000,186120000,138550000,94830000,272560000,132970000,885540000,504620000,489140000,56690000,324970000,56330000,8190920000,481490000,398980000,3583720000,805480000,527070000,368610000,2002590000,421960000,13532830000,1904020000,612030000,1170770000,211170000,3915570000,315700000,1834810000,336570000,78550000,86010000,294550000,83760000,2479000000,210320000,7583930000,1159860000,3679880000,128610000,113370000,108610000,105510000,243290000,82120000,72280000,427370000,170490000,109330000,478310000,348410000,108120000,166840000,81530000,6920250000,107910000,1215430000,169980000,64830000,68400000,309750000,178230000,310180000,28220000,984050000,193900000,1934710000,222960000,260010000,40810000,117460000,114220000,185510000,15800000,397890000,26.27703381,254,,
6/1/2020,16056710000,5189090000,497180000,722310000,38170000,798310000,486740000,124720000,64680000,55120000,17720000,13490000,97900000,23700000,88220000,29650000,37050000,7830000,96210000,3860000,2021090000,185420000,74910000,895640000,263400000,195040000,71690000,328700000,81200000,2533610000,342820000,89810000,278370000,65260000,829550000,41520000,163500000,30110000,17910000,17020000,33230000,7760000,572000000,44750000,2270950000,363020000,1126370000,49640000,18170000,23500000,36610000,40110000,21850000,26860000,101200000,99990000,17240000,129670000,106800000,61310000,28980000,19630000,1261380000,15350000,220820000,21910000,8440000,19020000,11370000,36140000,68670000,1230000,96650000,25390000,417380000,20510000,17340000,14860000,18710000,58990000,50240000,4620000,133740000,26.89935746,279,,
7/1/2020,66368950000,13117870000,13305820000,2212490000,378120000,2798200000,2305950000,285160000,240240000,512630000,160980000,122200000,396040000,324840000,1541680000,526640000,526720000,75720000,795630000,102580000,12054360000,1374720000,576860000,7010180000,865930000,313410000,293010000,1325620000,294630000,10909450000,1775600000,421950000,1095210000,376880000,1725320000,176320000,2287270000,485940000,130640000,95320000,201630000,201630000,1279140000,656600000,10903330000,2356720000,4201740000,334280000,144360000,221450000,332170000,313780000,119930000,124700000,547220000,494100000,109310000,598560000,578900000,169010000,135420000,121680000,6078120000,112120000,740100000,287030000,131850000,65740000,550760000,196320000,418320000,31020000,725300000,174450000,953420000,498940000,236320000,52220000,76380000,95280000,167520000,30520000,534510000,22.059806,799.6,,
8/1/2020,2179620000,429870000,60450000,52140000,4020000,69010000,34380000,12500000,1820000,7380000,820000,2900000,2290000,1050000,28980000,5400000,7410000,2440000,9950000,1080000,334000000,43570000,2240000,139570000,72070000,5250000,5790000,62380000,5370000,275050000,14970000,5520000,21360000,15580000,169250000,3820000,16620000,9530000,900000,1310000,2290000,1000000,7090000,5810000,687360000,103990000,349590000,13990000,11630000,6640000,21380000,12110000,5450000,5110000,26020000,23290000,6730000,43650000,43990000,7090000,4710000,1990000,207530000,1790000,20720000,4630000,2720000,2130000,3510000,3460000,5600000,1090000,15260000,7660000,99110000,13770000,6250000,950000,1550000,2310000,6820000,1010000,7190000,26.95962643,360,,
